url,city,name
http://www.datacentermap.com/germany/hamburg/datacenter-hamburg.html,Hamburg,Datacenter-Hamburg
http://www.datacentermap.com/germany/hamburg/colt-hamburg1.html,Hamburg,"Colt Hamburg, Gross Borstel"
http://www.datacentermap.com/iran/hamedan/mizban-gostar-dade-alvand.html,Hamedan,Mizban Gostar dade alvand
http://www.datacentermap.com/canada/hamilton/allcoreca-hamilton.html,Hamilton,AllCore.ca Hamilton Data Center
http://www.datacentermap.com/new-zealand/hamilton-nz/waikatoone.html,Hamilton NZ,WaikatoOne
http://www.datacentermap.com/vietnam/hanoi/ntt-thang-long.html,Hanoi,Hanoi Thang Long Data Center
http://www.datacentermap.com/vietnam/hanoi/hanoi-thanglong.html,Hanoi,GDS Hanoi Thanglong
http://www.datacentermap.com/vietnam/hanoi/telehouse-vietnam.html,Hanoi,TELEHOUSE Vietnam Hanoi
http://www.datacentermap.com/usa/mississippi/hattiesburg/megagate-broadband-data-center.html,Hattiesburg,MegaGate Broadband Data Center
http://www.datacentermap.com/finland/helsinki/mediam-helsinki-dc.html,Helsinki,Mediam Helsinki DC
http://www.datacentermap.com/japan/hiroshima/telehouse-hiroshima.html,Hiroshima,TELEHOUSE Hiroshima
http://www.datacentermap.com/vietnam/ho-chi-minh-city/edatacenter.html,Ho Chi Minh City,eDatacenter
http://www.datacentermap.com/australia/hobart/bbw-telecom.html,Hobart,BBW Telecom
http://www.datacentermap.com/hong-kong/hong-kong/hknets-kwai-chung.html,Hong Kong,Hong Kong Kwai Chung Data Center
http://www.datacentermap.com/hong-kong/hong-kong/ntt-com-hk-financial.html,Hong Kong,Hong Kong Financial Data Center
http://www.datacentermap.com/hong-kong/hong-kong/hgc-wong-chuk-hang.html,Hong Kong,HGC GlobalCentre - Wong Chuk Hang
http://www.datacentermap.com/hong-kong/hong-kong/hgc-kwai-chung.html,Hong Kong,HGC GlobalCentre - Kwai Chung
http://www.datacentermap.com/hong-kong/hong-kong/equinix-hong-kong.html,Hong Kong,Equinix Hong Kong
http://www.datacentermap.com/hong-kong/hong-kong/savvis-hk7.html,Hong Kong,CenturyLink HK7
http://www.datacentermap.com/hong-kong/hong-kong/asix-chk.html,Hong Kong,ASIX-CHK
http://www.datacentermap.com/usa/new-jersey/hudson-county/equinix-secaucus-3.html,Hudson County,Equinix Secaucus #3
http://www.datacentermap.com/usa/california/irvine/savvis-oc2.html,Irvine,CenturyLink OC2
http://www.datacentermap.com/usa/new-jersey/hudson-county/equinix-secaucus-2.html,Hudson County,Equinix Secaucus #2
http://www.datacentermap.com/usa/new-jersey/hudson-county/equinix-secaucus.html,Hudson County,Equinix Secaucus #1
http://www.datacentermap.com/usa/new-jersey/hudson-county/equinix-ny4.html,Hudson County,Equinix NY4
http://www.datacentermap.com/usa/new-jersey/hudson-county/savvis-nj2.html,Hudson County,CenturyLink NJ2
http://www.datacentermap.com/usa/new-jersey/hudson-county/savvis-nj1.html,Hudson County,CenturyLink NJ1
http://www.datacentermap.com/usa/california/irvine/streaming-media-hosting.html,Irvine,Aecero
http://www.datacentermap.com/turkey/istanbul/sadece-ist2.html,Istanbul,Sadecehosting.Com Ist2
http://www.datacentermap.com/india/jaipur/jaipur-dc.html,Jaipur,Jaipur DC
http://www.datacentermap.com/indonesia/jakarta/telkomsigma-serpong.html,Jakarta,Telkomsigma Data Center Serpong
http://www.datacentermap.com/germany/jena/isppro-rzj1-b.html,Jena,ISPpro RZJ1-B
http://www.datacentermap.com/nepal/kathmandu/government-integrated-dc.html,Kathmandu,Government Integrated Data Center
http://www.datacentermap.com/nepal/kathmandu/government-integrated-dc.html,Kathmandu,Government Integrated Data Center
http://www.datacentermap.com/japan/kawaguchi/saitama-no-1.html,Kawaguchi,Saitama No. 1 Data Center
http://www.datacentermap.com/dr-congo/kinshasa/gbsdc1.html,Kinshasa,GBSDC1
http://www.datacentermap.com/norway/kolbotn/digiplex-rosenholm.html,Kolbotn,DigiPlex Rosenholm
http://www.datacentermap.com/norway/kristiansand/no1.html,Kristiansand,NO1
http://www.datacentermap.com/kuwait/kuwait-city/zajil-telecom.html,Kuwait City,Zajil Telecom
http://www.datacentermap.com/nigeria/lagos/mdxi-lekki-dc.html,Lagos,MDXi Lekki DC
http://www.datacentermap.com/kuwait/kuwait-city/qualitynet.html,Kuwait City,Qualitynet
http://www.datacentermap.com/cyprus/larnaca/nscy04.html,Larnaca,NSCY04
http://www.datacentermap.com/usa/nevada/las-vegas/southwest-data-centers.html,Las Vegas,Southwest Data centers
http://www.datacentermap.com/united-kingdom/leeds/sungard-tc4-elland.html,Leeds,SunGard TC4 - Elland
http://www.datacentermap.com/united-kingdom/leicester/iomart-leicester.html,Leicester,iomart Leicester
http://www.datacentermap.com/united-kingdom/leeds/computacenter-leeds.html,Leeds,Computacenter - Leeds
http://www.datacentermap.com/germany/leipzig/datacenter-leipzig.html,Leipzig,Datacenter Leipzig
http://www.datacentermap.com/nigeria/lekki/nigeria-mdxi.html,Lekki,MainData Nigeria Limited (MDXi)
http://www.datacentermap.com/canada/lethbridge/ldc01.html,Lethbridge,LDC01
http://www.datacentermap.com/united-kingdom/lincolnshire/smartbunker.html,Lincolnshire,Smartbunker
http://www.datacentermap.com/sweden/linkoping/rockan-data-center.html,Linköping,Rockan Data Center AB
http://www.datacentermap.com/portugal/lisbon/telvent.html,Lisbon,Telvent
http://www.datacentermap.com/portugal/lisbon/ptisp-lis1.html,Lisbon,PTisp Lis1
http://www.datacentermap.com/portugal/lisbon/nfsi-lisbon1.html,Lisbon,nfsi Lisbon1
http://www.datacentermap.com/portugal/lisbon/dotsi-lisbon.html,Lisbon,DOTSI - Lisbon
http://www.datacentermap.com/portugal/lisbon/colt-lisbon1.html,Lisbon,"Colt Lisbon, Carnaxide"
http://www.datacentermap.com/portugal/lisbon/allbs-lda-lx.html,Lisbon,ALLBS
http://www.datacentermap.com/slovenia/ljubljana/datacenter-dc02.html,Ljubljana,Datacenter DC02
http://www.datacentermap.com/united-kingdom/london/virtus-london4.html,London,VIRTUS LONDON4
http://www.datacentermap.com/united-kingdom/london/virtus-london2.html,London,VIRTUS LONDON2
http://www.datacentermap.com/united-kingdom/london/virtus-london1.html,London,VIRTUS LONDON1
http://www.datacentermap.com/united-kingdom/london/virtus-1.html,London,Virtus 1
http://www.datacentermap.com/united-kingdom/london/ntt-slough.html,London,UK Slough 1  Data Center
http://www.datacentermap.com/united-kingdom/london/tata-cressex.html,London,Tata Communications Cressex
http://www.datacentermap.com/united-kingdom/london/sungard-tc2-docklands.html,London,SunGard TC2 - Docklands
http://www.datacentermap.com/united-kingdom/london/romford-north.html,London,Romford North
http://www.datacentermap.com/usa/california/los-angeles/equinix-los-angeles2.html,Los Angeles,Equinix Los Angeles #2
http://www.datacentermap.com/switzerland/lucerne/dc-luz-luzern-ost.html,Lucerne,DC LuZ Luzern Ost
http://www.datacentermap.com/united-kingdom/london/london-technology-centre.html,London,London Technology Centre
http://www.datacentermap.com/united-kingdom/london/iomart-london.html,London,iomart London (City of)
http://www.datacentermap.com/united-kingdom/london/global-switch-london2.html,London,Global Switch London East
http://www.datacentermap.com/united-kingdom/london/global-switch-london1.html,London,Global Switch London
http://www.datacentermap.com/usa/california/los-angeles/equinix-los-angeles1.html,Los Angeles,Equinix Los Angeles
http://www.datacentermap.com/usa/california/los-angeles/savvis-la1.html,Los Angeles,CenturyLink LA1
http://www.datacentermap.com/usa/california/los-angeles/savvis-br1.html,Los Angeles,CenturyLink BR1
http://www.datacentermap.com/switzerland/lucerne/dc-luz-luzern-nord.html,Lucerne,DC LuZ Luzern Nord
http://www.datacentermap.com/switzerland/lucerne/dc-luz-luzern-mitte.html,Lucerne,DC LuZ Luzern Mitte
http://www.datacentermap.com/united-kingdom/london/equinix-park-royal.html,London,Equinix Park Royal
http://www.datacentermap.com/united-kingdom/london/equinix-london-city.html,London,Equinix London City
http://www.datacentermap.com/united-kingdom/london/equinix-heathrow.html,London,Equinix Heathrow
http://www.datacentermap.com/united-kingdom/london/datatech-london.html,London,Datatech London
http://www.datacentermap.com/united-kingdom/london/computacenter-romford-tier-iv.html,London,Computacenter - Romford
http://www.datacentermap.com/united-kingdom/london/colt-london3.html,London,"Colt London, Welwyn Garden City"
http://www.datacentermap.com/united-kingdom/london/colt-london1.html,London,"Colt London, Princes Court"
http://www.datacentermap.com/united-kingdom/london/colt-london2.html,London,"Colt London, Powergate"
http://www.datacentermap.com/united-kingdom/london/savvis-lo6.html,London,CenturyLink LO6
http://www.datacentermap.com/united-kingdom/london/savvis-lo4.html,London,CenturyLink LO4
http://www.datacentermap.com/united-kingdom/london/savvis-slough.html,London,CenturyLink LO1
http://www.datacentermap.com/united-kingdom/london/anchorage-point.html,London,BIS Anchorage Point
http://www.datacentermap.com/united-kingdom/london/interxion-lon2.html,London,"Interxion LON2 (London, UK)"
http://www.datacentermap.com/india/ludhiana/ludhiana-dc.html,Ludhiana,Ludhiana DC
http://www.datacentermap.com/france/lyon/shd-lyon.html,Lyon,SHD - SOLUTION HEBERGEMENT DURABLE
http://www.datacentermap.com/united-kingdom/london/interxion-london.html,London,"Interxion LON1 (London, UK)"
http://www.datacentermap.com/spain/madrid/ipcore.html,Madrid,IPCORE
