description,title,country,region,postal code,locality,extend address,name
"
	WILCON is located in the area Los Angeles, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 16-06-2015.",WILCON,USA,California,90017,Los Angeles,,WILCON
"
	ViaWest - Synergy Park is located in the area Dallas, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - Synergy Park,USA,Texas,75080,Richardson,ViaWest - Synergy Park,"ViaWest, Inc."
"
	ViaWest - SLC Campus View is located in the area Salt Lake City, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - SLC Campus View,USA,Utah,84084,West Jordan,ViaWest - SLC Campus View,"ViaWest, Inc."
"
	ViaWest - SLC West is located in the area Salt Lake City, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - SLC West,USA,Utah,84104,Salt Lake City,ViaWest - SLC West,"ViaWest, Inc."
"
	Switch Datacenters Woerden is located in the area Utrecht, The Netherlands (Holland), and the colocation data center is  carrier neutral. The data center was last updated on 11-07-2014.",Switch Datacenters Woerden,The Netherlands,,3447 GN,Woerden,Switch Datacenters Woerden,Switch Datacenter Amsterdam
"
	ViaWest - SLC East is located in the area Salt Lake City, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 14-10-2015.",ViaWest - SLC East,USA,Utah,84107,Salt Lake City,ViaWest - SLC East,"ViaWest, Inc."
"
	MFX RKE is located in the area Roanoke, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 07-08-2014.",MFX RKE,USA,Virginia,24018,Roanoke,MFX RKE,"MFX Roanoke, Inc"
"
	1-Net North is located in the area Singapore, Singapore, and the colocation data center is  carrier neutral. The data center was last updated on 29-07-2016.",1-Net North,Singapore,Singapore,Furnish upon request,Singapore,1-Net North,1-Net Singapore Pte Ltd
"
	Iron Mountain Data Centers - WPA-1 is located in the area Pittsburgh, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 30-03-2017.",Iron Mountain Data Centers - WPA-1,USA,Pennsylvania,16020,Boyers,Iron Mountain Data Centers - WPA-1,Iron Mountain
"
	ACI 35 John (CBC Building) is located in the area Toronto, Canada, and the colocation data center is  carrier neutral. The data center was last updated on 20-01-2015.",ACI 35 John (CBC Building),Canada,Ontario,M6P 1T7,Toronto,ACI 35 John (CBC Building),Accelerated Connections Inc
"
	Cologix Lakeland Data Center is located in the area Tampa, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 13-04-2015.",Cologix Lakeland Data Center,USA,Florida,33805,Lakeland,Cologix Lakeland Data Center,Cologix
"
	DataChambers is located in the area Winston Salem, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 31-01-2017.",DataChambers,USA,North Carolina,27107,Winston-Salem,,DataChambers
"
	DataChambers is located in the area Charlotte, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 31-01-2017.",DataChambers,USA,North Carolina,28081,Kannapolis,,DataChambers
"
	DataChambers is located in the area Raleigh, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 31-01-2017.",DataChambers,USA,North Carolina,27603,Raleigh,,DataChambers
"
	HOSTKEY/DataPro is located in the area Moscow, Russia, and the colocation data center is  carrier neutral. The data center was last updated on 23-12-2015.",HOSTKEY/DataPro,Russia,,111024,Moscow,HOSTKEY/DataPro,HOSTKEY
"
	CoreSite Denver (DE2) is located in the area Denver, USA (America), and the colocation data center is not  carrier neutral. The data center was last updated on 07-11-2016.",CoreSite Denver (DE2),USA,Colorado,80203,Denver,CoreSite Denver (DE2),CoreSite
"
	TELEHOUSE London Docklands (West) is located in the area London, United Kingdom (UK), and the colocation data center is  carrier neutral. The data center was last updated on 09-06-2015.",TELEHOUSE London Docklands (West),United Kingdom,London,E14 2AA,London,TELEHOUSE London Docklands (West),TELEHOUSE Europe
